16:00:31:159 [ALWAYS]	GUDE Logging Started
16:00:31:164 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:00:31:165 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:00:31:166 [ERROR]	Initialize resume cache pointer failure
16:00:31:167 [INFO]	gude policy POLICY_USER limit (2,2,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 0, timeout 86400 
16:00:31:168 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
16:00:32:518 [WARN]	Ignoring attempt to reinit logging to \gude at level 4 retaining 3 days of logs
16:00:32:534 [INFO]	SqliteResumeCache::SqliteResumeCache basedirectory is null/empty
16:00:32:534 [ERROR]	SqliteResumeCache::CreateSqliteResumeCache creating resume cache pointer failure
16:00:32:537 [ERROR]	Initialize resume cache pointer failure
16:00:32:537 [INFO]	gude policy POLICY_USER limit (4,4,1) chunk 2097152, chunking (UL 0 DL 1), resXfer 1, adapt 0, NSURL 1, timeout 86400 
16:00:32:538 [INFO]	Initialized -- gude-lib version: v0.12.1 app: gude
